,languages,num_speakers,low_eng_prof,speaker_perc,low_prof_perc,group_labels,subgroup_labels
162,..Yapese,720,350,2.4701143438572485e-06,1.2007500282639403e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
163,..Melanesian,1305,295,4.477082248241263e-06,1.0120607381081783e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
164,..Polynesian,435,160,1.4923607494137543e-06,5.489142986349442e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
165,..Samoan,64135,16905,0.0002200288658934509,5.799622636514832e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
166,..Tongan,31440,8855,0.00010786165968176652,3.037897571507769e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
167,..Niuean,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
168,..Tokelauan,125,-1,4.2883929580855013e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
169,..Fijian,5755,1360,1.9743761179025647e-05,4.665771538397025e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
170,..Marquesan,135,-1,4.631464394732341e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
171,..Rarotongan,95,-1,3.2591786481449807e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
172,..Maori,460,145,1.5781286085754644e-06,4.974535831379181e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
173,..Nukuoro,210,85,7.204500169583642e-07,2.9161072114981405e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
174,..Hawaiian,26205,4280,8.990186997330445e-05,1.4683457488484756e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
175,ALL OTHER LANGUAGES,2626244,809834,0.009009893020651439,0.002778309138254571,group_header,group_header
176,.Navajo,166826,35250,0.0005723323549004575,0.00012093268141801113,ALL OTHER LANGUAGES,
177,.Other Native North American languages,197505,29548,0.0006775832409493415,0.00010137074810040831,ALL OTHER LANGUAGES,subgroup_header
178,..Aleut,995,170,3.4135607946360587e-06,5.832214422996281e-07,ALL OTHER LANGUAGES,.Other Native North American languages
179,..Pacific Gulf Yupik,70,-1,2.401500056527881e-07,-1.0,ALL OTHER LANGUAGES,.Other Native North American languages
180,..Eskimo,1270,265,4.357007245414869e-06,9.091393071141262e-07,ALL OTHER LANGUAGES,.Other Native North American languages
